term,category,en_definition,de_definition,en_example,de_example,related_terms,see_also
Bind-Parameter,Datenbank-Begriffe / Database Terms,"Placeholder in a SQL statement that is filled with a value at execution time. In TDBC, bind parameters are introduced with a colon (`:name`) and filled at `execute` via a Tcl dict. Prevents SQL injection and enables prepared-statement reuse. Standard for all production database code.","Platzhalter in einer SQL-Anweisung, der zur Laufzeit mit einem Wert ersetzt wird. In TDBC werden Bind-Parameter mit Doppelpunkt eingeleitet (`:name`) und beim `execute` ueber ein Tcl-Dict gefuellt. Verhindert SQL-Injection und ermoeglicht Prepared-Statement-Wiederverwendung. Standard fuer Produktiv-Datenbank-Code.",,,,
CLOB,Datenbank-Begriffe / Database Terms,Character Large Object — PostgreSQL and Oracle column type for large text fields. SQLite has no separate CLOB type; large strings live in regular `TEXT` columns (which are arbitrary length).,Character Large Object — Postgres- und Oracle-Form fuer grosse Text-Felder. SQLite kennt das nicht; grosse Strings werden in `TEXT`-Spalten gehalten (die ohnehin beliebig lang sind).,,,,
Connection,Datenbank-Begriffe / Database Terms,The primary TDBC object representing an open connection to the database. Typically created once per application and held. Source of `prepare` calls and the host for transactions.,"Das primaere TDBC-Objekt, das eine geoeffnete Verbindung zur Datenbank repraesentiert. Wird typischerweise einmal pro Anwendung angelegt und gehalten. Ursprung der `prepare`-Aufrufe und Traeger der Transaktionen.",,,,
Connection-String,Datenbank-Begriffe / Database Terms,"ODBC notation for connection parameters, in the form `key=value;key=value;...`. The exact format is driver-specific. Used to bypass DSN configuration when supplying credentials inline. See connectionstrings.com for driver-specific examples.","ODBC-Notation fuer Verbindungs-Parameter, in Form `Schluessel=Wert;Schluessel=Wert;...`. Genaues Format ist treiber-spezifisch. Verwendet um DSN-Konfiguration zu umgehen und Credentials inline zu liefern. Siehe connectionstrings.com fuer treiber-spezifische Beispiele.",,,,
Cursor,Datenbank-Begriffe / Database Terms,"Database-internal concept of a pointer to a position in a result set. ODBC knows several cursor types (Forward-only, Static, Keyset, Dynamic). TDBC typically uses forward-only via `nextlist`/`nextdict`. Most application code does not deal with cursors directly.","Datenbank-internes Konzept eines Zeigers auf eine Position im Result-Set. ODBC kennt mehrere Cursor-Typen (Forward-only, Static, Keyset, Dynamic). TDBC verwendet typischerweise Forward-only via `nextlist`/`nextdict`. Anwendungs-Code kommt selten direkt mit Cursors in Beruehrung.",,,,
DDL,Datenbank-Begriffe / Database Terms,"Data Definition Language — SQL commands that change the schema: `CREATE`, `ALTER`, `DROP`. Counterpart to DML.","Data Definition Language — SQL-Befehle, die das Schema veraendern: `CREATE`, `ALTER`, `DROP`. Gegenstueck zu DML.",,,,
DML,Datenbank-Begriffe / Database Terms,"Data Manipulation Language — SQL commands that change or read data: `INSERT`, `UPDATE`, `DELETE`, `SELECT`. Counterpart to DDL.","Data Manipulation Language — SQL-Befehle, die Daten veraendern oder lesen: `INSERT`, `UPDATE`, `DELETE`, `SELECT`. Gegenstueck zu DDL.",,,,
DSN,Datenbank-Begriffe / Database Terms,"Data Source Name — a pre-configured connection string under a short alias. Stored platform-dependent: `/etc/odbc.ini` on Linux, ODBC Data Source Administrator on Windows, `/Library/ODBC/odbc.ini` on macOS. Allows separating credentials from application code.","Data Source Name — vorkonfigurierter Connection-String unter einem kurzen Alias. Plattform-abhaengig gespeichert: `/etc/odbc.ini` auf Linux, ODBC-Datenquellen-Verwaltung auf Windows, `/Library/ODBC/odbc.ini` auf macOS. Erlaubt die Trennung von Credentials und Anwendungs-Code.",,,,
Default-Schema,Datenbank-Begriffe / Database Terms,The schema used by a database connection when no explicit prefix is given. PostgreSQL: queryable via `current_schema()`. Oracle: the schema of the connection user. SQLite: only `main` and `temp` plus `ATTACH`-mounted secondary databases.,"Das Schema, das bei einer DB-Connection ohne explizites Praefix benutzt wird. Postgres: ueber `current_schema()` abrufbar. Oracle: das Schema des Connection-Users. SQLite: nur `main` und `temp` plus per `ATTACH` zugeschaltete Sekundaer-DBs.",,,,
Driver Manager,Datenbank-Begriffe / Database Terms,ODBC component that mediates between application code and the concrete driver. Built into Windows; usually `unixODBC` on Linux; often `iODBC` on macOS. The application calls ODBC API functions; the manager routes them to the appropriate driver based on DSN or connection string.,"ODBC-Komponente, die zwischen Anwendungs-Code und konkretem Treiber vermittelt. Auf Windows eingebaut; auf Linux meist `unixODBC`; auf macOS oft `iODBC`. Die Anwendung ruft ODBC-API-Funktionen; der Manager leitet sie zum passenden Treiber basierend auf DSN oder Connection-String.",,,,
Empty-String,Datenbank-Begriffe / Database Terms,"In Tcl the value `""""`. Because Tcl has no NULL concept of its own, empty string is conventionally used as the Tcl representation of SQL NULL. This convention has consequences: a legitimately empty SQL TEXT value is indistinguishable from NULL when fetched via TDBC defaults.","In Tcl der Wert `""""`. Weil Tcl kein eigenes NULL-Konzept hat, wird Empty-String konventionell als Tcl-Repraesentation fuer SQL NULL verwendet. Diese Konvention hat Konsequenzen: ein legitim leerer SQL TEXT-Wert ist von NULL nicht mehr unterscheidbar wenn er ueber TDBC-Defaults geholt wird.",,,,
FK (Foreign Key),Datenbank-Begriffe / Database Terms,"Foreign key — column that references the primary key of another table, establishing a relationship. In SQLite *declared but not enforced* by default; enforcement is switched on via `PRAGMA foreign_keys = ON` (must be set on each new connection). PostgreSQL and Oracle enforce by default.","Fremdschluessel — Spalte, die auf den Primaerschluessel einer anderen Tabelle verweist und damit eine Beziehung herstellt. In SQLite per Default *deklariert aber nicht erzwungen*; Erzwingung ueber `PRAGMA foreign_keys = ON` (muss bei jeder neuen Connection gesetzt werden). Postgres und Oracle erzwingen per Default.",,,,
FTS5,Datenbank-Begriffe / Database Terms,"Full-Text Search module, version 5, of SQLite. A virtual-table extension providing full-text indexing and `MATCH` queries. Standard since SQLite 3.9. Supports tokenization, prefix matching, BM25 ranking, phrase queries. The earlier FTS3/FTS4 modules are deprecated.","Full-Text Search Modul, Version 5, von SQLite. Eine Virtual-Table-Erweiterung, die Volltext-Indizierung und `MATCH`-Queries bereitstellt. Standard seit SQLite 3.9. Unterstuetzt Tokenisierung, Prefix-Matching, BM25-Ranking, Phrasen-Queries. Die frueheren FTS3/FTS4-Module sind veraltet.",,,,
Glue-Code,Datenbank-Begriffe / Database Terms,"Tcl term for code that brings multiple underlying libraries or tools together — Tcl was originally designed as a glue language. In the database context, the typical Tcl application is glue between TDBC drivers, Tk GUI code, and external tools. Compared to writing the whole application in C or Java, Tcl glue is concise and fast to evolve.","Tcl-Begriff fuer Code, der mehrere darunter liegende Bibliotheken oder Tools zusammenfuehrt — Tcl wurde urspruenglich als Glue-Sprache entworfen. Im Datenbank-Kontext ist die typische Tcl-Anwendung Glue zwischen TDBC-Treibern, Tk-GUI-Code und externen Tools. Gegenueber kompletter Implementierung in C oder Java ist Tcl-Glue kompakt und schnell weiterzuentwickeln.",,,,
Information Schema,Datenbank-Begriffe / Database Terms,"SQL standard collection of views that expose schema metadata (tables, columns, constraints). Implemented in PostgreSQL and Oracle, not in SQLite — SQLite uses `sqlite_master` and `PRAGMA` commands instead. Used in cross-database schema introspection code.","SQL-Standard-Sammlung von Views, die Schema-Metadaten zugaenglich machen (Tabellen, Spalten, Constraints). In PostgreSQL und Oracle implementiert, in SQLite nicht — dort gibt es stattdessen `sqlite_master` und `PRAGMA`. Verwendet in cross-database Schema-Introspection-Code.",,,,
Instant Client,Datenbank-Begriffe / Database Terms,"Slim distribution of the Oracle client libraries, without a full Oracle installation. Used by Oratcl when `ORACLE_HOME` or `ORACLE_LIBRARY` points to it. Standard way to package Oracle connectivity without shipping the full server-side Oracle stack.","Schmale Distribution der Oracle-Client-Bibliotheken, ohne vollstaendige Oracle-Installation. Wird von Oratcl genutzt, sofern `ORACLE_HOME` oder `ORACLE_LIBRARY` darauf zeigt. Standard-Weg um Oracle-Konnektivitaet zu paketieren ohne den ganzen Server-Stack mitzuliefern.",,,,
JDBC,Datenbank-Begriffe / Database Terms,Java Database Connectivity — the Java standard layer for database access. Structural model for TDBC: connection / statement / result set. Most concepts in TDBC have a direct JDBC analogue.,Java Database Connectivity — die Java-Standardschicht fuer Datenbank-Zugriff. Strukturelles Vorbild fuer TDBC: Connection / Statement / Result Set. Die meisten Konzepte in TDBC haben ein direktes JDBC-Pendant.,,,,
JSON1,Datenbank-Begriffe / Database Terms,"JSON function family in SQLite. Provides `json_extract`, `json_each`, `json_object`, `json_array`, `json_set`, `json_remove`, and more. Available as extension since SQLite 3.9; in the core since 3.38.0 (February 2022). Enables hybrid relational/document storage.","JSON-Funktions-Familie in SQLite. Bietet `json_extract`, `json_each`, `json_object`, `json_array`, `json_set`, `json_remove` und mehr. Seit SQLite 3.9 als Erweiterung, seit 3.38.0 (Februar 2022) im Core. Ermoeglicht hybride relationale/Dokument-Speicherung.",,,,
LOB,Datenbank-Begriffe / Database Terms,"Large Object — umbrella term for BLOB and CLOB. In Oratcl addressable as its own object class with the `oralob` command. Operations include reading in chunks (for memory efficiency), writing, length-querying.","Large Object — Sammelbegriff fuer BLOB und CLOB. In Oratcl als eigene Objekt-Klasse mit `oralob`-Befehl ansprechbar. Operationen umfassen Chunk-weises Lesen (fuer Speicher-Effizienz), Schreiben, Laengen-Abfrage.",,,,
Lazy-Loading,Datenbank-Begriffe / Database Terms,"Loading strategy where a library is loaded only when actually needed, not at startup. In Tcl, typically implemented with `package require` inside a function rather than at top level. Reduces startup time and memory footprint for features that are rarely used (e.g. PDF export).","Lade-Strategie, bei der eine Bibliothek erst dann geladen wird, wenn sie tatsaechlich gebraucht wird, nicht beim Start. In Tcl typisch implementiert mit `package require` innerhalb einer Funktion statt auf Top-Level. Reduziert Startzeit und Memory-Footprint fuer selten genutzte Features (z.B. PDF-Export).",,,,
MariaDB,Datenbank-Begriffe / Database Terms,"Community-driven fork of MySQL, started in 2009 by MySQL's original developers in response to Oracle's acquisition. Wire-protocol-compatible with MySQL (the same TDBC driver works), but with divergent feature development: MariaDB adds storage engines (Aria, ColumnStore, S3), query optimizer improvements, and JSON functions independent of MySQL's path. Default choice in many modern Linux distributions (Debian, Fedora, Arch) where it shipped as the `mysql` package. Tcl access via `tdbc::mysql` — works against either server.","Community-getriebener Fork von MySQL, 2009 von MySQLs urspruenglichen Entwicklern als Reaktion auf Oracles Uebernahme gestartet. Wire-Protokoll-kompatibel mit MySQL (derselbe TDBC-Treiber funktioniert), aber mit auseinandergehender Feature-Entwicklung: MariaDB ergaenzt Storage-Engines (Aria, ColumnStore, S3), Query-Optimizer-Verbesserungen und JSON-Funktionen unabhaengig von MySQLs Pfad. Standardwahl in vielen modernen Linux-Distributionen (Debian, Fedora, Arch), wo es als `mysql`-Paket ausgeliefert wurde. Tcl-Zugriff via `tdbc::mysql` — funktioniert gegen beide Server.",,,,
Mock-Connection,Datenbank-Begriffe / Database Terms,Test pattern in which a TDBC connection is replaced by a TclOO object that records all method calls. Allows testing application code without a real database. Standard technique for unit tests of database wrapper code.,"Test-Pattern, bei dem eine TDBC-Connection durch ein TclOO-Objekt ersetzt wird, das alle Methoden-Aufrufe aufzeichnet. Erlaubt Tests ohne echte DB. Standard-Technik fuer Unit-Tests von Datenbank-Wrapper-Code.",,,,
Multi-Statement-SQL,Datenbank-Begriffe / Database Terms,"A sequence of multiple SQL statements separated by semicolons, executed in a single call. TDBC does *not* process this — only one statement per call. The older `sqlite3` Tcl package can. Avoid in code intended to be portable across TDBC drivers.","Eine Folge mehrerer SQL-Statements, mit Semikolons getrennt, in einem einzigen Aufruf ausgefuehrt. TDBC verarbeitet das *nicht* — pro Aufruf nur ein Statement. Das alte `sqlite3`-Tcl-Paket kann es. In Code der portabel ueber TDBC-Treiber sein soll vermeiden.",,,,
MySQL,Datenbank-Begriffe / Database Terms,"Widely-deployed open-source relational database — historically the ""M"" in LAMP stack (Linux, Apache, MySQL, PHP). Owned by Oracle since 2010, which prompted the MariaDB fork. Strengths: huge installation base, good replication, mature tooling. Weaknesses (versus PostgreSQL): historically looser standards compliance, fewer advanced query features. Tcl access via TDBC driver `tdbc::mysql`. The wire protocol is shared between MySQL and MariaDB, so the same driver works for both — though feature-level compatibility may differ for newer constructs.","Weit verbreitete Open-Source-Relationale-Datenbank — historisch das ""M"" im LAMP-Stack (Linux, Apache, MySQL, PHP). Seit 2010 im Besitz von Oracle, was den MariaDB-Fork ausgeloest hat. Staerken: riesige Installations-Basis, gute Replikation, reife Werkzeuge. Schwaechen (gegenueber PostgreSQL): historisch laxere Standard-Konformitaet, weniger fortgeschrittene Query-Features. Tcl-Zugriff via TDBC-Treiber `tdbc::mysql`. Das Wire-Protokoll wird zwischen MySQL und MariaDB geteilt, daher funktioniert derselbe Treiber fuer beide — auf Feature-Ebene kann die Kompatibilitaet fuer neuere Konstrukte allerdings differieren.",,,,
NLS_LANG,Datenbank-Begriffe / Database Terms,Environment variable for Oracle clients that sets language and encoding (e.g. `GERMAN_GERMANY.AL32UTF8`). Honoured by Oratcl. Critical for correct character handling between application and Oracle server.,"Umgebungsvariable fuer Oracle-Clients, die die Sprach- und Encoding-Einstellungen festlegt (z.B. `GERMAN_GERMANY.AL32UTF8`). Wird von Oratcl beachtet. Kritisch fuer korrekte Zeichenbehandlung zwischen Anwendung und Oracle-Server.",,,,
OCI (Oracle Call Interface),Datenbank-Begriffe / Database Terms,Oracle's C-API for database access. Oratcl is a thin layer on top of OCI. The de-facto low-level interface for any Oracle integration in C or wrapper languages.,Die C-API von Oracle fuer Datenbank-Zugriff. Oratcl ist eine duenne Schicht darueber. Die De-Facto-Low-Level-Schnittstelle fuer jede Oracle-Integration in C oder Wrapper-Sprachen.,,,,
ODBC (Open Database Connectivity),Datenbank-Begriffe / Database Terms,"Industry standard API for database access, specified language- and database-independent. In Tcl accessed via the `tdbc::odbc` package. Bridge architecture with Driver Manager and DB-specific driver. The standard fallback when no native TDBC driver exists for a given database.","Industrie-Standard-API fuer Datenbank-Zugriff, sprache- und datenbank-unabhaengig spezifiziert. In Tcl ueber das `tdbc::odbc`-Paket angesprochen. Bruecken-Architektur mit Driver Manager und DB-spezifischem Treiber. Standard-Fallback wenn kein nativer TDBC-Treiber existiert.",,,,
ORM (Object-Relational Mapper),Datenbank-Begriffe / Database Terms,"Library that maps table rows to language objects (e.g. SQLAlchemy in Python, Hibernate in Java). In Tcl there is no dominant ORM. Trade-off: ORMs reduce boilerplate but add overhead and abstraction leaks. For Tcl, a lightweight middle path with TclOO + explicit SQL is common.","Bibliothek, die Tabellen-Zeilen in Sprach-Objekte abbildet (z.B. SQLAlchemy in Python, Hibernate in Java). In Tcl gibt es kein dominantes ORM. Trade-Off: ORMs reduzieren Boilerplate, fuegen aber Overhead und Abstraktions-Lecks hinzu. Fuer Tcl ist ein leichtgewichtiger Mittelweg mit TclOO + expliziten SQL ueblich.",,,,
Oratcl,Datenbank-Begriffe / Database Terms,Tcl extension for Oracle database access. Does not follow the TDBC convention; offers its own API closer to OCI. Pre-dates TDBC. Used when TDBC's Oracle driver is unavailable or when fine-grained OCI control is needed.,"Tcl-Erweiterung fuer Oracle-Datenbank-Zugriff. Folgt nicht der TDBC-Konvention, sondern bietet eine eigene API, die enger an OCI verzahnt ist. Aelter als TDBC. Verwendet wenn TDBC-Oracle-Treiber nicht verfuegbar oder feingranulare OCI-Kontrolle gebraucht wird.",,,,
PDO,Datenbank-Begriffe / Database Terms,PHP Data Objects — the PHP standard layer for database access. Conceptual cousin of TDBC and JDBC: connection / prepared-statement / result set. Mentioned here as comparison.,PHP Data Objects — die PHP-Standardschicht fuer Datenbank-Zugriff. Konzeptueller Verwandter von TDBC und JDBC: Connection / Prepared-Statement / Result Set. Hier als Vergleich erwaehnt.,,,,
PRAGMA,Datenbank-Begriffe / Database Terms,"SQLite-specific SQL command that configures the connection or schema. Important pragmas: `PRAGMA foreign_keys = ON` (FK enforcement), `PRAGMA journal_mode = WAL` (write-ahead logging), `PRAGMA table_info(t)` (schema introspection), `PRAGMA integrity_check` (sanity check). Not portable to other databases.","SQLite-spezifischer SQL-Befehl, der die Connection oder das Schema konfiguriert. Wichtige Pragmas: `PRAGMA foreign_keys = ON` (FK-Erzwingung), `PRAGMA journal_mode = WAL` (Write-Ahead Logging), `PRAGMA table_info(t)` (Schema-Introspektion), `PRAGMA integrity_check` (Sanity-Check). Nicht portabel zu anderen Datenbanken.",,,,
PostgreSQL,Datenbank-Begriffe / Database Terms,"Open-source relational database — the most feature-complete open-source SQL system. Distinguished by strong standards compliance (PL/pgSQL stored procedures, advanced query features), rich type system (JSON, JSONB, arrays, ranges, custom types), and extensibility (PostGIS for geo-data, full-text search, foreign data wrappers). Tcl accesses PostgreSQL via the TDBC driver `tdbc::postgres` (`package require tdbc::postgres; tdbc::postgres::connection create db -host ...`). The non-TDBC `Pgtcl` extension also exists, older but with direct access to PostgreSQL-specific features. Often abbreviated ""Postgres"".","Open-Source-Relationale-Datenbank — das funktional umfangreichste open-source SQL-System. Zeichnet sich aus durch starke Standard-Konformitaet (PL/pgSQL-Stored-Procedures, fortgeschrittene Query-Features), reichhaltiges Typ-System (JSON, JSONB, Arrays, Ranges, eigene Typen) und Erweiterbarkeit (PostGIS fuer Geo-Daten, Volltext-Suche, Foreign-Data-Wrapper). Tcl greift via TDBC-Treiber `tdbc::postgres` auf PostgreSQL zu (`package require tdbc::postgres; tdbc::postgres::connection create db -host ...`). Die Nicht-TDBC-Erweiterung `Pgtcl` existiert auch, aelter aber mit direktem Zugriff auf PostgreSQL-spezifische Features. Oft als ""Postgres"" abgekuerzt.",,,,
Prepared Statement,Datenbank-Begriffe / Database Terms,"A SQL statement prepared by the database, then executed multiple times with different bind parameters. In TDBC created via `$conn prepare`. Benefits: prevents SQL injection, allows the database to cache the execution plan, faster for repeated execution.","Ein zur Datenbank vorbereitetes SQL-Statement, das mehrfach mit verschiedenen Bind-Parametern ausgefuehrt werden kann. In TDBC durch `$conn prepare` erzeugt. Vorteile: verhindert SQL-Injection, erlaubt der DB den Execution-Plan zu cachen, schneller bei wiederholter Ausfuehrung.",,,,
ResultSet,Datenbank-Begriffe / Database Terms,"TDBC object representing the result of a SQL query, iterated over with `nextlist`/`nextdict` or processed in bulk with `allrows`. Created by `$stmt execute`. Must be closed (or fully consumed) to free database resources.","TDBC-Objekt, das das Ergebnis einer SQL-Abfrage repraesentiert. Wird mit `nextlist`/`nextdict` iteriert oder mit `allrows` in einem Rutsch verarbeitet. Erzeugt durch `$stmt execute`. Muss geschlossen (oder vollstaendig konsumiert) werden um DB-Ressourcen freizugeben.",,,,
Round-Trip-Verifizierung,Datenbank-Begriffe / Database Terms,"Testing discipline: after each code-snapshot, the complete application cycle is manually walked through (init → diagnose → run → cleanup). Catches GUI bugs and integration issues that automated unit tests cannot reach. Complements unit testing rather than replacing it.","Test-Disziplin: nach jedem Code-Snapshot wird der komplette Anwendungs-Zyklus manuell durchgespielt (init → diagnose → run → cleanup). Findet GUI-Bugs und Integrations-Probleme, die automatisierte Unit-Tests nicht greifen. Ergaenzt Unit-Testing, ersetzt es nicht.",,,,
SQLState,Datenbank-Begriffe / Database Terms,Standardized error code that is DB-portable (e.g. `23505` for unique-constraint violation). Defined by the SQL standard. In TDBC accessible via the error info; the TDBC method `tdbc::mapSqlState` converts to a Tcl-friendly name. Use SQLState for cross-database error handling instead of vendor-specific error numbers.,"Standardisierter Fehlercode, der DB-uebergreifend gilt (z.B. `23505` fuer Unique-Constraint-Verletzung). Vom SQL-Standard definiert. In TDBC ueber das Error-Info zugaenglich; die TDBC-Methode `tdbc::mapSqlState` konvertiert zu einem Tcl-freundlichen Namen. Verwende SQLState fuer cross-database Fehlerbehandlung statt vendor-spezifischer Fehlernummern.",,,,
Savepoint,Datenbank-Begriffe / Database Terms,"SQL construct for nested transaction points. Allows partial rollback without aborting the entire transaction. Syntax: `SAVEPOINT name`, `ROLLBACK TO SAVEPOINT name`, `RELEASE SAVEPOINT name`. Supported by PostgreSQL, Oracle, SQLite (since 3.6.8). Useful for try/catch-style error handling in long transactions.","SQL-Konstrukt fuer verschachtelte Transaktions-Punkte. Erlaubt partielles Zurueckrollen ohne die ganze Transaktion abzubrechen. Syntax: `SAVEPOINT name`, `ROLLBACK TO SAVEPOINT name`, `RELEASE SAVEPOINT name`. Unterstuetzt von Postgres, Oracle, SQLite (ab 3.6.8). Nuetzlich fuer try/catch-Fehlerbehandlung in langen Transaktionen.",,,,
Schema-Migration,Datenbank-Begriffe / Database Terms,"Structured change of a schema (new columns, new tables) across versions of an application. TDBC offers no migration tools; typically implemented as a version-tracking pattern: store the schema version in a metadata table, run migrations in order, update the version on success.","Strukturierte Veraenderung eines Schemas (neue Spalten, neue Tabellen) ueber die Versionen einer Anwendung hinweg. TDBC bietet keine Migrations-Werkzeuge; typisch implementiert als Versions-basiertes Pattern: Schema-Version in einer Metadata-Tabelle, Migrationen in Reihenfolge, bei Erfolg Version updaten.",,,,
Statement,Datenbank-Begriffe / Database Terms,TDBC object holding a prepared SQL statement. Created by `$conn prepare` and executed with `$stmt execute`. Can be re-executed multiple times with different bind parameters. Must be `close`d when no longer needed (or the connection close will cascade).,"TDBC-Objekt, das ein vorbereitetes SQL-Statement haelt. Wird von `$conn prepare` erzeugt und mit `$stmt execute` ausgefuehrt. Kann mehrfach mit unterschiedlichen Bind-Parametern ausgefuehrt werden. Muss `close`d werden wenn nicht mehr gebraucht (oder das Connection-Close cascadet).",,,,
TDBC,Datenbank-Begriffe / Database Terms,"Tcl Database Connectivity — standard API for database access in Tcl. Shipped since Tcl 8.6 (2012). Provides connection / statement / result-set abstraction with vendor-specific drivers (`tdbc::sqlite3`, `tdbc::postgres`, `tdbc::mysql`, `tdbc::odbc`). Models after JDBC.","Tcl Database Connectivity — Standard-API fuer Datenbank-Zugriff in Tcl. Seit Tcl 8.6 (2012) ausgeliefert. Bietet Connection / Statement / Result-Set Abstraktion mit treiber-spezifischen Drivern (`tdbc::sqlite3`, `tdbc::postgres`, `tdbc::mysql`, `tdbc::odbc`). Vorbild ist JDBC.",,,,
TclOO,Datenbank-Begriffe / Database Terms,"Standard class mechanism in Tcl since version 8.6. Used by TDBC for connection-, statement-, and result-set objects. Lightweight: classes, methods, inheritance, mixins, filters. Predecessor systems (Snit, [incr Tcl]) still exist; TclOO is the modern standard.","Standard-Klassen-Mechanik in Tcl seit Version 8.6. Wird von TDBC fuer Connection-, Statement- und ResultSet-Objekte verwendet. Leichtgewichtig: Klassen, Methoden, Vererbung, Mixins, Filter. Vorgaenger-Systeme (Snit, [incr Tcl]) existieren weiter; TclOO ist der moderne Standard.",,,,
Tk,Datenbank-Begriffe / Database Terms,"GUI toolkit shipped with Tcl. Provides standard widgets (Button, Entry, Treeview, Canvas, Text) for Linux, Windows, and macOS. Native look-and-feel via ttk widget set (Themed Tk). The original GUI toolkit before Qt, GTK; still maintained and shipped with every Tcl distribution.","GUI-Toolkit, das mit Tcl mitgeliefert wird. Bietet Standard-Widgets (Button, Entry, Treeview, Canvas, Text) fuer Linux, Windows und macOS. Natives Look-and-Feel ueber ttk-Widget-Set (Themed Tk). Das urspruengliche GUI-Toolkit vor Qt, GTK; weiterhin gepflegt und mit jeder Tcl-Distribution ausgeliefert.",,,,
Type Affinity,Datenbank-Begriffe / Database Terms,"SQLite concept: column types are recommendations, not contracts. SQLite tries to convert values according to the column's declared affinity but accepts deviating types without error. Affinities: TEXT, NUMERIC, INTEGER, REAL, BLOB. The cause behind SQLite's surprising flexibility (and occasional surprises).","SQLite-Konzept: Spalten-Typen sind Empfehlungen, keine Vertraege. SQLite versucht Werte gemaess der deklarierten Affinitaet zu konvertieren, akzeptiert aber abweichende Typen ohne Fehler. Affinitaeten: TEXT, NUMERIC, INTEGER, REAL, BLOB. Der Grund fuer SQLites ueberraschende Flexibilitaet (und gelegentliche Ueberraschungen).",,,,
Upsert,Datenbank-Begriffe / Database Terms,"Combined INSERT-or-UPDATE in one statement. In SQLite since 3.24 (2018) via `INSERT ... ON CONFLICT(column) DO UPDATE SET ... = excluded....`. PostgreSQL has had `INSERT ... ON CONFLICT` since 9.5 (2016). MySQL uses `INSERT ... ON DUPLICATE KEY UPDATE`. Avoids the explicit ""exists, then update or insert"" pattern that has race conditions.","Kombiniertes INSERT-or-UPDATE in einem Statement. In SQLite seit 3.24 (2018) ueber `INSERT ... ON CONFLICT(spalte) DO UPDATE SET ... = excluded....`. PostgreSQL hat `INSERT ... ON CONFLICT` seit 9.5 (2016). MySQL nutzt `INSERT ... ON DUPLICATE KEY UPDATE`. Vermeidet das explizite ""Existiert, dann Update oder Insert""-Muster mit Race-Conditions.",,,,
Vendoring,Datenbank-Begriffe / Database Terms,"Practice of keeping external libraries (e.g. `pdf4tcl`) directly inside the application directory, instead of relying on system packages. Makes the application self-contained and independently distributable. Trade-off: increases repo size, requires manual update tracking; eliminates ""works on my machine"" problems.","Praxis, externe Bibliotheken (z.B. `pdf4tcl`) direkt im Anwendungs-Verzeichnis zu halten, statt sich auf System-Pakete zu verlassen. Macht die Anwendung selbst-staendig und unabhaengig verteilbar. Trade-Off: erhoeht Repo-Groesse, erfordert manuelles Update-Tracking; eliminiert ""laeuft auf meiner Maschine""-Probleme.",,,,
Virtual Table,Datenbank-Begriffe / Database Terms,SQLite concept: a table whose content does not live in the DB file but is dynamically provided by a module. FTS5 tables are virtual tables; `json_each` and `json_tree` are table-valued functions that work similarly. Modules can be written in C and registered with SQLite to expose any data source as a SQL-queryable table.,"SQLite-Konzept: eine Tabelle, deren Inhalt nicht in der DB-Datei liegt, sondern dynamisch von einem Modul geliefert wird. FTS5-Tabellen sind Virtual Tables; `json_each` und `json_tree` sind Tabellen-Funktionen, die aehnlich funktionieren. Module koennen in C geschrieben und bei SQLite registriert werden um beliebige Datenquellen als SQL-abfragbare Tabelle bereitzustellen.",,,,
WAL (Write-Ahead Logging),Datenbank-Begriffe / Database Terms,"SQLite journal mode with much better concurrent-read performance than the default. Enabled via `PRAGMA journal_mode = WAL`. Writers don't block readers; the WAL file is separate from the main DB. Trade-off: WAL file needs occasional checkpoint (auto by default), backup needs the WAL file too.","SQLite-Journal-Modus mit deutlich besserer parallel-Lese-Performance als der Default. Eingeschaltet durch `PRAGMA journal_mode = WAL`. Schreiber blockieren Leser nicht; die WAL-Datei ist separat von der Haupt-DB. Trade-Off: WAL-Datei braucht gelegentliche Checkpoints (per Default automatisch), Backup braucht die WAL-Datei mit.",,,,
Wrapper,Datenbank-Begriffe / Database Terms,"Tcl layer over TDBC (or Oratcl) that enforces application-specific conventions: NULL handling, schema introspection, transaction lifecycle, error mapping. Typical in mid-size applications to centralize cross-cutting concerns. Distinguished from generic ""database abstraction"": a Wrapper encodes the specific application's policies, not a generic ORM.","Tcl-Schicht ueber TDBC (oder Oratcl), die anwendungs-spezifische Konventionen erzwingt: NULL-Behandlung, Schema-Introspektion, Transaktions-Lifecycle, Error-Mapping. Typisch in mittelgrossen Anwendungen um Cross-Cutting-Concerns zu zentralisieren. Unterschied zur generischen ""Datenbank-Abstraktion"": ein Wrapper kodiert die Policies der spezifischen Anwendung, kein generisches ORM.",,,,
Zero-Latency-Read,Datenbank-Begriffe / Database Terms,"Property of in-memory databases — no disk I/O, no network latency. SQLite with `:memory:` connection achieves this. Primarily relevant for tests (replacement for slow fixture loading) and for caching layers. Trade-off: data is lost when the process exits.","Eigenschaft von In-Memory-Datenbanken — keine Disk-I/O, keine Netzwerk-Latenz. SQLite mit `:memory:`-Connection erreicht das. Primaer relevant fuer Tests (Ersatz fuer langsames Fixture-Laden) und fuer Cache-Schichten. Trade-Off: Daten gehen beim Prozess-Ende verloren.",,,,
